Entity,Code,Year,Employment rate
Australia,AUS,1991,57.218
Australia,AUS,1992,56.24
Australia,AUS,1993,55.787
Australia,AUS,1994,56.943
Australia,AUS,1995,58.283
Australia,AUS,1996,58.233
Australia,AUS,1997,57.967
Australia,AUS,1998,58.281
Australia,AUS,1999,58.582
Australia,AUS,2000,59.303
Australia,AUS,2001,59.164
Australia,AUS,2002,59.459
Australia,AUS,2003,59.935
Australia,AUS,2004,60.144
Australia,AUS,2005,61.26
Australia,AUS,2006,61.747
Australia,AUS,2007,62.415
Australia,AUS,2008,62.783
Australia,AUS,2009,61.856
Australia,AUS,2010,62.066
Australia,AUS,2011,62.184
Australia,AUS,2012,61.836
Australia,AUS,2013,61.343
Australia,AUS,2014,60.849
Australia,AUS,2015,61.135
Australia,AUS,2016,61.242
Australia,AUS,2017,61.599
Australia,AUS,2018,62.286
Australia,AUS,2019,62.689
Australia,AUS,2020,60.87
Australia,AUS,2021,62.825
Australia,AUS,2022,64.396
Australia,AUS,2023,64.565
Australia,AUS,2024,64.089
Australia,AUS,2025,63.816
