Entity,Code,Year,Labor force participation rate
Australia,AUS,1990,63.894
Australia,AUS,1991,63.285
Australia,AUS,1992,63.002
Australia,AUS,1993,62.597
Australia,AUS,1994,63.077
Australia,AUS,1995,63.678
Australia,AUS,1996,63.649
Australia,AUS,1997,63.26
Australia,AUS,1998,63.133
Australia,AUS,1999,62.908
Australia,AUS,2000,63.282
Australia,AUS,2001,63.444
Australia,AUS,2002,63.508
Australia,AUS,2003,63.715
Australia,AUS,2004,63.577
Australia,AUS,2005,64.509
Australia,AUS,2006,64.85
Australia,AUS,2007,65.275
Australia,AUS,2008,65.564
Australia,AUS,2009,65.502
Australia,AUS,2010,65.48
Australia,AUS,2011,65.514
Australia,AUS,2012,65.245
Australia,AUS,2013,65.025
Australia,AUS,2014,64.787
Australia,AUS,2015,65.076
Australia,AUS,2016,64.952
Australia,AUS,2017,65.248
Australia,AUS,2018,65.804
Australia,AUS,2019,66.088
Australia,AUS,2020,65.028
Australia,AUS,2021,66.147
Australia,AUS,2022,66.89
Australia,AUS,2023,67.023
Australia,AUS,2024,66.719
