Entity,Code,Year,Manufacturing employment as a proportion of total employment
Australia,AUS,2000,12.89
Australia,AUS,2001,12.37
Australia,AUS,2002,12.29
Australia,AUS,2003,11.78
Australia,AUS,2004,11.65
Australia,AUS,2005,11.03
Australia,AUS,2006,10.72
Australia,AUS,2007,10.6
Australia,AUS,2008,10.51
Australia,AUS,2009,9.26
Australia,AUS,2010,8.9
Australia,AUS,2011,8.47
Australia,AUS,2012,8.38
Australia,AUS,2013,8.05
Australia,AUS,2014,8.69
Australia,AUS,2015,8.23
Australia,AUS,2016,8.18
Australia,AUS,2017,7.24
Australia,AUS,2018,7.89
Australia,AUS,2019,7.47
Australia,AUS,2020,7.39
Australia,AUS,2021,7.51
Australia,AUS,2022,6.87
Australia,AUS,2023,7
Australia,AUS,2024,6.18
