Entity,Code,Year,"Unemployment rate, ages 15-24"
Australia,AUS,1991,17.476
Australia,AUS,1992,19.272
Australia,AUS,1993,18.536
Australia,AUS,1994,16.872
Australia,AUS,1995,15.196
Australia,AUS,1996,15.641
Australia,AUS,1997,15.839
Australia,AUS,1998,14.458
Australia,AUS,1999,13.111
Australia,AUS,2000,12.084
Australia,AUS,2001,13.476
Australia,AUS,2002,12.794
Australia,AUS,2003,11.962
Australia,AUS,2004,11.366
Australia,AUS,2005,10.619
Australia,AUS,2006,10.026
Australia,AUS,2007,9.36
Australia,AUS,2008,8.814
Australia,AUS,2009,11.461
Australia,AUS,2010,11.548
Australia,AUS,2011,11.37
Australia,AUS,2012,11.728
Australia,AUS,2013,12.22
Australia,AUS,2014,13.311
Australia,AUS,2015,13.11
Australia,AUS,2016,12.642
Australia,AUS,2017,12.592
Australia,AUS,2018,11.935
Australia,AUS,2019,11.452
Australia,AUS,2020,14.142
Australia,AUS,2021,11.134
Australia,AUS,2022,8.468
Australia,AUS,2023,8.388
Australia,AUS,2024,9.408
Australia,AUS,2025,9.61
