Entity,Code,Year,Unemployment rate
Afghanistan,AFG,2025,13.351
Albania,ALB,2025,10.926
Algeria,DZA,2025,11.633
Angola,AGO,2025,14.108
Argentina,ARG,2025,7.145
Armenia,ARM,2025,12.871
Australia,AUS,2025,4.09
Austria,AUT,2025,5.582
Azerbaijan,AZE,2025,5.457
Bahamas,BHS,2025,9.207
Bahrain,BHR,2025,1.102
Bangladesh,BGD,2025,3.77
Barbados,BRB,2025,6.524
Belarus,BLR,2025,3.38
Belgium,BEL,2025,5.906
Belize,BLZ,2025,8.856
Benin,BEN,2025,1.589
Bhutan,BTN,2025,3.227
Bolivia,BOL,2025,2.967
Bosnia and Herz.,BIH,2025,11.037
Botswana,BWA,2025,24.477
Brazil,BRA,2025,5.97
Brunei,BRN,2025,5.277
Bulgaria,BGR,2025,3.536
Burkina Faso,BFA,2025,3.477
Burundi,BDI,2025,0.922
Cambodia,KHM,2025,0.263
Cameroon,CMR,2025,3.602
Canada,CAN,2025,6.907
Cape Verde,CPV,2025,11.939
Central African Rep.,CAF,2025,6.251
Chad,TCD,2025,1.057
Chile,CHL,2025,8.974
China,CHN,2025,4.615
Colombia,COL,2025,8.29
Comoros,COM,2025,3.819
Congo,COG,2025,19.876
Costa Rica,CRI,2025,6.843
Cote d'Ivoire,CIV,2025,2.323
Croatia,HRV,2025,5.002
Cuba,CUB,2025,1.746
Cyprus,CYP,2025,4.924
Czechia,CZE,2025,2.825
Dem. Rep. Congo,COD,2025,4.434
Denmark,DNK,2025,5.529
Djibouti,DJI,2025,26.015
Dominican Rep.,DOM,2025,5.092
East Timor,TLS,2025,1.592
Ecuador,ECU,2025,3.308
Egypt,EGY,2025,6.781
El Salvador,SLV,2025,3.303
Equatorial Guinea,GNQ,2025,8.337
Eritrea,ERI,2025,5.978
Estonia,EST,2025,8.313
Eswatini,SWZ,2025,34.202
Ethiopia,ETH,2025,3.323
Fiji,FJI,2025,5.347
Finland,FIN,2025,9.461
France,FRA,2025,7.542
Gabon,GAB,2025,20.154
Gambia,GMB,2025,6.521
Georgia,GEO,2025,12.097
Germany,DEU,2025,3.711
Ghana,GHA,2025,2.979
Greece,GRC,2025,8.54
Guatemala,GTM,2025,2.604
Guinea,GIN,2025,5.163
Guinea-Bissau,GNB,2025,2.673
Guyana,GUY,2025,11.962
Haiti,HTI,2025,14.944
Honduras,HND,2025,4.92
Hungary,HUN,2025,4.521
Iceland,ISL,2025,3.625
India,IND,2025,4.219
Indonesia,IDN,2025,3.237
Iran,IRN,2025,8.301
Iraq,IRQ,2025,15.485
Ireland,IRL,2025,4.632
Israel,ISR,2025,3.489
Italy,ITA,2025,6.391
Jamaica,JAM,2025,3.286
Japan,JPN,2025,2.451
Jordan,JOR,2025,16.535
Kazakhstan,KAZ,2025,4.771
Kenya,KEN,2025,5.449
Kuwait,KWT,2025,2.181
Kyrgyzstan,KGZ,2025,3.526
Laos,LAO,2025,1.187
