Entity,Code,Year,Female unemployment rate
Australia,AUS,1991,9.164
Australia,AUS,1992,9.935
Australia,AUS,1993,10.004
Australia,AUS,1994,9.37
Australia,AUS,1995,8.111
Australia,AUS,1996,8.24
Australia,AUS,1997,8.079
Australia,AUS,1998,7.336
Australia,AUS,1999,6.662
Australia,AUS,2000,6.07
Australia,AUS,2001,6.451
Australia,AUS,2002,6.173
Australia,AUS,2003,5.984
Australia,AUS,2004,5.544
Australia,AUS,2005,5.225
Australia,AUS,2006,4.926
Australia,AUS,2007,4.793
Australia,AUS,2008,4.583
Australia,AUS,2009,5.41
Australia,AUS,2010,5.381
Australia,AUS,2011,5.308
Australia,AUS,2012,5.328
Australia,AUS,2013,5.611
Australia,AUS,2014,6.174
Australia,AUS,2015,6.074
Australia,AUS,2016,5.781
Australia,AUS,2017,5.669
Australia,AUS,2018,5.397
Australia,AUS,2019,5.098
Australia,AUS,2020,6.343
Australia,AUS,2021,4.865
Australia,AUS,2022,3.672
Australia,AUS,2023,3.572
Australia,AUS,2024,3.827
Australia,AUS,2025,4.05
